,PC1,PC2,PC3,PC4,PC5
CTSA,0.960073427204734,0.942861542671362,0.945925585661802,0.94294969578296,0.943084472567405
CTSB,0.9641740432155,0.926786951134343,0.947080920718982,0.945667504401481,0.946674248131792
CTSD,0.959802834287593,0.927585631611289,0.945621530933053,0.945521834337252,0.946098796835786
CTSF,0.981988622603795,0.942394021658443,0.941643992594589,0.948019515332244,0.94491301853465
CTSH,0.98173850965868,0.928112079632454,0.946387013115086,0.9457054961441,0.946844883466726
CTSK,0.964284319378507,0.932985811768094,0.944438264982622,0.944450332196405,0.947293976758019
CTSL,0.999455470662632,0.938083630020823,0.950363613852689,0.94495520261704,0.944013569748177
CXCL10,0.942390675824483,0.934887621307475,0.953330481883988,0.944784496715875,0.943887835598652
CXCL12,0.916268745156655,0.945672049171594,0.942322923310087,0.947442584969492,0.949518732602313
CXCL2,0.951784653458613,0.970237811980707,0.946717331194989,0.946529699229712,0.947828205046853
CXCR4,0.889771336333468,0.935106407080008,0.948695351417877,0.945656854646551,0.946905229011377
CYB5R1,0.994982384880758,0.933137818238105,0.94311797666486,0.946245768689123,0.94561952340041
CYB5R3,0.990715327410387,0.9397539274606,0.947479965163717,0.9455358514483,0.950418498107276
CYBB,0.968962652258093,0.949672522663332,0.9489494743032,0.945523684064403,0.943723380477306
CYC1,0.955438017560316,0.928811047245331,0.947133073434454,0.946967728124717,0.944857823291613
CYCS,0.867767816333897,0.930757435794432,0.947802049963707,0.945968841924083,0.945798667792176
CYP11A1,0.964661211468734,0.954492730318281,0.949301537518775,0.94850902641257,0.947054544227689
CYP19A1,0.96472519620352,0.958048179634583,0.946095658764555,0.946208416486571,0.94602987091771
CYP24A1,0.973565267748096,0.962018646260503,0.946472654289261,0.946895146675459,0.945579433417175
CYP26A1,0.982306756019569,0.960346477886703,0.945738022361149,0.946310305959027,0.946003376651747
CYP2B6,0.964729539580971,0.958292412294924,0.946297854948418,0.946237436688998,0.946279100887268
CYP2C18,0.95593353050207,0.956854975899572,0.946203479439482,0.946328403046109,0.946050760995041
